ts,open,high,low,close,volume
2015-11-08 00:00:00,383.62,390.47,366.18,372.65,27445.01908688
2015-11-09 00:00:00,372.86,386.79,360.54,377.90,25934.97280336
2015-11-10 00:00:00,378.02,381.44,323.63,336.80,48890.59709485
2015-11-11 00:00:00,335.02,341.41,294.00,309.91,51510.30806168
2015-11-12 00:00:00,309.95,344.78,308.42,337.17,37744.44698848
2015-11-13 00:00:00,337.00,342.00,325.00,336.99,24663.47295722
2015-11-14 00:00:00,336.98,356.10,325.45,333.00,25628.37827293
2015-11-15 00:00:00,332.95,334.99,314.60,319.28,27643.56081053
2015-11-16 00:00:00,319.29,332.25,315.00,330.83,22243.82252044
2015-11-17 00:00:00,330.82,350.44,329.00,336.08,27718.67585229
2015-11-18 00:00:00,336.00,337.89,330.28,335.65,27252.09998985
2015-11-19 00:00:00,335.68,336.48,324.92,326.02,26919.51670768
2015-11-20 00:00:00,326.51,327.73,310.00,322.04,21303.64116376
2015-11-21 00:00:00,322.04,328.94,318.52,326.50,5129.35325162
2015-11-22 00:00:00,326.50,326.60,320.13,324.20,4062.21223126
2015-11-23 00:00:00,324.20,326.09,320.39,323.48,5101.55728889
2015-11-24 00:00:00,323.48,323.50,317.00,319.70,8649.01893298
2015-11-25 00:00:00,319.70,330.84,316.00,328.90,12253.75997580
2015-11-26 00:00:00,328.90,369.70,328.53,353.21,35986.16248608
2015-11-27 00:00:00,353.90,364.80,347.84,357.14,13276.83006850
2015-11-28 00:00:00,357.42,359.44,350.41,356.95,6275.36735525
2015-11-29 00:00:00,356.78,373.15,354.45,371.48,7817.18354971
2015-11-30 00:00:00,371.20,383.00,367.11,376.71,18097.95321032
2015-12-01 00:00:00,376.70,379.00,354.56,363.06,15410.28235169
2015-12-02 00:00:00,362.70,362.84,348.64,358.89,12343.40776780
2015-12-03 00:00:00,359.11,370.53,356.21,361.42,12190.88393550
2015-12-04 00:00:00,361.48,364.30,355.92,363.62,9989.28021734
2015-12-05 00:00:00,363.62,389.89,363.00,388.00,16784.12666746
2015-12-06 00:00:00,388.00,399.85,383.00,388.24,14679.43603185
