ts,close
1642464000,0.00010759
1642550400,0.00010059
1642636800,9.751e-05
1642723200,9.108e-05
1642809600,8.208e-05
1642896000,8.33e-05
1642982400,7.696e-05
1643068800,8.148e-05
1643155200,7.781e-05
1643241600,7.487e-05
1643328000,7.735e-05
1643414400,7.831e-05
1643500800,8.401e-05
1643587200,8.503e-05
1643673600,8.954e-05
1643760000,8.438e-05
1643846400,8.334e-05
1643932800,8.247e-05
1644019200,8.257e-05
1644105600,7.967e-05
1644192000,8.112e-05
1644278400,7.76e-05
1644364800,7.877e-05
1644451200,7.336e-05
1644537600,6.812e-05
1644624000,6.798e-05
1644710400,6.527e-05
1644796800,6.829e-05
1644883200,7.135e-05
1644969600,7.225e-05
1645056000,7.174e-05
1645142400,7.018e-05
1645228800,6.982e-05
1645315200,6.638e-05
1645401600,6.317e-05
1645488000,6.267e-05
1645574400,6.13e-05
1645660800,5.841e-05
1645747200,6.013e-05
1645833600,6.116e-05
1645920000,5.804e-05
1646006400,5.659e-05
1646092800,5.723e-05
1646179200,6.028e-05
1646265600,5.905e-05
1646352000,5.746e-05
1646438400,5.702e-05
1646524800,5.363e-05
1646611200,5.2e-05
1646697600,5.255e-05
1646784000,5.141e-05
1646870400,5.179e-05
1646956800,5.085e-05
1647043200,5.094e-05
1647129600,5.08e-05
1647216000,4.924e-05
1647302400,4.967e-05
1647388800,5.087e-05
1647475200,5.192e-05
1647561600,5.37e-05
1647648000,5.421e-05
1647734400,5.205e-05
1647820800,5.353e-05
1647907200,5.349e-05
1647993600,5.556e-05
1648080000,5.418e-05
1648166400,5.149e-05
1648252800,5.412e-05
1648339200,5.578e-05
1648425600,5.476e-05
1648512000,5.922e-05
1648598400,5.962e-05
1648684800,5.794e-05
1648771200,6.052e-05
1648857600,6.323e-05
1648944000,6.354e-05
1649030400,6.255e-05
1649116800,6.169e-05
1649203200,5.789e-05
1649289600,5.841e-05
1649376000,5.54e-05
1649462400,5.788e-05
1649548800,5.704e-05
1649635200,5.482e-05
1649721600,5.536e-05
1649808000,5.579e-05
1649894400,5.577e-05
1649980800,5.488e-05
1650067200,5.537e-05
1650153600,5.524e-05
1650240000,5.355e-05
1650326400,5.57e-05
1650412800,5.635e-05
1650499200,5.427e-05
1650585600,6.251e-05
1650672000,6.76e-05
1650758400,6.844e-05
1650844800,6.784e-05
1650931200,6.211e-05
1651017600,6.349e-05
1651104000,6.031e-05
1651190400,5.783e-05
1651276800,5.303e-05
1651363200,5.375e-05
1651449600,5.451e-05
1651536000,5.712e-05
1651622400,6.541e-05
1651708800,6.727e-05
1651795200,6.367e-05
1651881600,6.275e-05
1651968000,6.893e-05
1652054400,6.356e-05
1652140800,6.374e-05
1652227200,5.201e-05
1652313600,4.5e-05
1652400000,4.496e-05
1652486400,4.707e-05
1652572800,4.814e-05
1652659200,4.566e-05
1652745600,4.569e-05
1652832000,4.282e-05
1652918400,3.564e-05
1653004800,3.872e-05
1653091200,4.114e-05
1653177600,4.202e-05
1653264000,4.468e-05
1653350400,4.237e-05
1653436800,4.179e-05
1653523200,4.128e-05
1653609600,4.091e-05
1653696000,4.193e-05
1653782400,4.262e-05
1653868800,4.374e-05
1653955200,4.347e-05
1654041600,4.259e-05
1654128000,4.123e-05
1654214400,3.949e-05
1654300800,3.947e-05
1654387200,4.045e-05
1654473600,4.105e-05
1654560000,3.817e-05
1654646400,3.839e-05
1654732800,3.815e-05
1654819200,3.535e-05
1654905600,3.202e-05
1654992000,3.25e-05
1655078400,3.203e-05
1655164800,3.31e-05
1655251200,3.402e-05
1655337600,3.257e-05
1655424000,3.232e-05
1655510400,3.071e-05
1655596800,3.143e-05
1655683200,3.411e-05
1655769600,3.494e-05
1655856000,3.501e-05
1655942400,3.937e-05
1656028800,3.968e-05
1656115200,3.811e-05
1656201600,3.562e-05
1656288000,3.548e-05
1656374400,3.433e-05
1656460800,3.525e-05
1656547200,3.447e-05
1656633600,3.867e-05
1656720000,4.031e-05
1656806400,4.125e-05
1656892800,4.267e-05
1656979200,4.737e-05
1657065600,4.678e-05
1657152000,4.856e-05
1657238400,4.673e-05
1657324800,4.698e-05
1657411200,4.576e-05
1657497600,4.452e-05
1657584000,4.536e-05
1657670400,5.18e-05
1657756800,5.677e-05
1657843200,5.316e-05
1657929600,5.535e-05
1658016000,5.188e-05
1658102400,5.944e-05
1658188800,5.326e-05
1658275200,4.985e-05
1658361600,6.077e-05
1658448000,6.32e-05
1658534400,6.223e-05
1658620800,6.091e-05
1658707200,5.519e-05
1658793600,5.499e-05
1658880000,5.772e-05
1658966400,6.469e-05
1659052800,5.992e-05
1659139200,5.749e-05
1659225600,5.66e-05
1659312000,5.622e-05
1659398400,5.804e-05
1659484800,5.835e-05
1659571200,5.872e-05
1659657600,6.182e-05
1659744000,5.981e-05
1659830400,6.055e-05
1659916800,5.987e-05
1660003200,5.582e-05
1660089600,5.794e-05
1660176000,5.684e-05
1660262400,5.812e-05
1660348800,5.872e-05
1660435200,5.718e-05
1660521600,5.532e-05
1660608000,5.394e-05
1660694400,5.065e-05
1660780800,4.806e-05
1660867200,5.05e-05
1660953600,4.728e-05
1661040000,4.764e-05
1661126400,5.144e-05
1661212800,5.495e-05
1661299200,5.511e-05
1661385600,5.472e-05
1661472000,5.21e-05
1661558400,5.226e-05
1661644800,5.08e-05
1661731200,5.316e-05
1661817600,5.375e-05
1661904000,5.72e-05
1661990400,5.732e-05
1662076800,5.48e-05
1662163200,5.404e-05
1662249600,5.456e-05
1662336000,5.82e-05
1662422400,5.519e-05
1662508800,6.04e-05
1662595200,5.84e-05
1662681600,5.634e-05
1662768000,5.742e-05
1662854400,5.417e-05
1662940800,5.104e-05
1663027200,5.217e-05
1663113600,5.295e-05
1663200000,5.345e-05
1663286400,5.347e-05
1663372800,5.385e-05
1663459200,4.816e-05
1663545600,5.028e-05
1663632000,5.003e-05
1663718400,4.671e-05
1663804800,4.72e-05
1663891200,4.888e-05
1663977600,4.866e-05
1664064000,4.723e-05
1664150400,4.837e-05
1664236800,4.79e-05
1664323200,4.844e-05
1664409600,4.731e-05
1664496000,4.723e-05
1664582400,4.612e-05
1664668800,4.507e-05
1664755200,4.574e-05
1664841600,4.485e-05
1664928000,4.495e-05
1665014400,4.464e-05
1665100800,4.593e-05
1665187200,4.548e-05
1665273600,4.538e-05
1665360000,4.453e-05
1665446400,4.297e-05
1665532800,4.281e-05
1665619200,4.127e-05
1665705600,4.246e-05
1665792000,4.222e-05
1665878400,4.24e-05
1665964800,4.549e-05
1666051200,4.716e-05
1666137600,4.444e-05
1666224000,4.444e-05
1666310400,4.667e-05
1666396800,4.566e-05
1666483200,4.689e-05
1666569600,4.531e-05
1666656000,4.503e-05
1666742400,4.497e-05
1666828800,4.476e-05
1666915200,4.583e-05
1667001600,4.489e-05
1667088000,4.398e-05
1667174400,4.313e-05
1667260800,4.355e-05
1667347200,4.297e-05
1667433600,4.456e-05
1667520000,4.843e-05
1667606400,4.682e-05
1667692800,4.539e-05
1667779200,4.866e-05
1667865600,4.147e-05
1667952000,3.478e-05
1668038400,3.906e-05
1668124800,3.929e-05
1668211200,3.604e-05
1668297600,3.865e-05
1668384000,3.673e-05
1668470400,3.591e-05
1668556800,3.518e-05
1668643200,3.313e-05
1668729600,3.309e-05
1668816000,3.247e-05
1668902400,3.139e-05
1668988800,3.184e-05
1669075200,3.899e-05
1669161600,4.141e-05
1669248000,4.147e-05
1669334400,4.109e-05
1669420800,4.277e-05
1669507200,4.175e-05
1669593600,3.98e-05
1669680000,4.026e-05
1669766400,3.908e-05
1669852800,3.787e-05
1669939200,3.858e-05
1670025600,3.763e-05
1670112000,3.915e-05
1670198400,3.977e-05
1670284800,3.975e-05
1670371200,3.873e-05
1670457600,3.876e-05
1670544000,3.768e-05
1670630400,3.725e-05
1670716800,3.678e-05
1670803200,3.594e-05
1670889600,3.692e-05
1670976000,3.634e-05
1671062400,3.563e-05
1671148800,3.287e-05
1671235200,3.334e-05
1671321600,3.279e-05
1671408000,3.142e-05
1671494400,3.124e-05
1671580800,3.075e-05
1671667200,3.124e-05
1671753600,3.143e-05
1671840000,3.104e-05
1671926400,3.101e-05
1672012800,3.169e-05
1672099200,3.173e-05
1672185600,3.082e-05
1672272000,3.076e-05
1672358400,3.181e-05
1672444800,3.175e-05
1672531200,3.177e-05
1672617600,3.196e-05
1672704000,3.176e-05
1672790400,3.285e-05
1672876800,3.225e-05
1672963200,3.223e-05
1673049600,3.246e-05
1673136000,3.366e-05
1673222400,3.732e-05
1673308800,3.729e-05
1673395200,3.734e-05
1673481600,3.65e-05
1673568000,4.034e-05
1673654400,3.875e-05
1673740800,3.987e-05
1673827200,4.149e-05
1673913600,4.305e-05
